"strain","orthofinder_orthogroup","sample","raw_count"
"Halomonas","OG0000348","D55MPa1",620
"Halomonas","OG0000349","D55MPa1",2916
"Halomonas","OG0000351","D55MPa1",85
"Halomonas","OG0000352","D55MPa1",823
"Halomonas","OG0000353","D55MPa1",413
"Halomonas","OG0000355","D55MPa1",105
"Halomonas","OG0000357","D55MPa1",180
"Halomonas","OG0000358","D55MPa1",675
"Halomonas","OG0000359","D55MPa1",4157
"Halomonas","OG0000360","D55MPa1",368
"Halomonas","OG0000361","D55MPa1",279
"Halomonas","OG0000362","D55MPa1",208
"Halomonas","OG0000363","D55MPa1",4041
"Halomonas","OG0000364","D55MPa1",1709
"Halomonas","OG0000365","D55MPa1",6556
"Halomonas","OG0000366","D55MPa1",398
"Halomonas","OG0000367","D55MPa1",7109
"Halomonas","OG0000368","D55MPa1",1272
"Halomonas","OG0000369","D55MPa1",922
"Halomonas","OG0000370","D55MPa1",724
"Halomonas","OG0000371","D55MPa1",287
"Halomonas","OG0000372","D55MPa1",291
"Halomonas","OG0000373","D55MPa1",44
"Halomonas","OG0000374","D55MPa1",13140
"Halomonas","OG0000375","D55MPa1",15
"Halomonas","OG0000376","D55MPa1",3475
"Halomonas","OG0000377","D55MPa1",41
"Halomonas","OG0000378","D55MPa1",545
"Halomonas","OG0000379","D55MPa1",578
"Halomonas","OG0000380","D55MPa1",134
"Halomonas","OG0000381","D55MPa1",124
"Halomonas","OG0000382","D55MPa1",482
"Halomonas","OG0000383","D55MPa1",3972
"Halomonas","OG0000384","D55MPa1",765
"Halomonas","OG0000385","D55MPa1",172
"Halomonas","OG0000386","D55MPa1",118
"Halomonas","OG0000387","D55MPa1",8689
"Halomonas","OG0000388","D55MPa1",1684
"Halomonas","OG0000389","D55MPa1",4634
"Halomonas","OG0000390","D55MPa1",619
"Halomonas","OG0000391","D55MPa1",3587
"Halomonas","OG0000392","D55MPa1",41005
"Halomonas","OG0000393","D55MPa1",190
"Halomonas","OG0000394","D55MPa1",302
"Halomonas","OG0000395","D55MPa1",185
"Halomonas","OG0000396","D55MPa1",778
"Halomonas","OG0000397","D55MPa1",175
"Halomonas","OG0000398","D55MPa1",849
"Halomonas","OG0000399","D55MPa1",1310
"Halomonas","OG0000401","D55MPa1",124
"Halomonas","OG0000403","D55MPa1",824
"Halomonas","OG0000404","D55MPa1",55765
"Halomonas","OG0000405","D55MPa1",121
"Halomonas","OG0000406","D55MPa1",1252
"Halomonas","OG0000407","D55MPa1",2119
"Halomonas","OG0000408","D55MPa1",1100
"Halomonas","OG0000409","D55MPa1",7338
"Halomonas","OG0000410","D55MPa1",78
"Halomonas","OG0000411","D55MPa1",554
"Halomonas","OG0000412","D55MPa1",490
"Halomonas","OG0000413","D55MPa1",3172
"Halomonas","OG0000414","D55MPa1",929
"Halomonas","OG0000415","D55MPa1",3986
"Halomonas","OG0000416","D55MPa1",1442
"Halomonas","OG0000417","D55MPa1",873
"Halomonas","OG0000418","D55MPa1",483
"Halomonas","OG0000419","D55MPa1",1973
"Halomonas","OG0000420","D55MPa1",1033
"Halomonas","OG0000421","D55MPa1",320
"Halomonas","OG0000422","D55MPa1",3290
"Halomonas","OG0000423","D55MPa1",192
"Halomonas","OG0000424","D55MPa1",253
"Halomonas","OG0000425","D55MPa1",229
"Halomonas","OG0000426","D55MPa1",321
"Halomonas","OG0000427","D55MPa1",719
"Halomonas","OG0000428","D55MPa1",2620
"Halomonas","OG0000430","D55MPa1",16
"Halomonas","OG0000431","D55MPa1",2122
"Halomonas","OG0000432","D55MPa1",455
"Halomonas","OG0000433","D55MPa1",1520
"Halomonas","OG0000434","D55MPa1",114
"Halomonas","OG0000435","D55MPa1",996
"Halomonas","OG0000436","D55MPa1",365
"Halomonas","OG0000437","D55MPa1",1391
"Halomonas","OG0000438","D55MPa1",1160
"Halomonas","OG0000439","D55MPa1",1026
"Halomonas","OG0000440","D55MPa1",1176
