contrast,orthofinder_orthogroup,member_strains,n_member_strains,Halomonas_present,Psychrobacter_present,Aequorivita_present,Sphingopyxis_present,Halomonas_direction,Psychrobacter_direction,Aequorivita_direction,Sphingopyxis_direction
D55_vs_D0,OG0000706,Sphingopyxis,1,False,False,False,True,,,,up
D55_vs_D0,OG0000708,Halomonas;Psychrobacter;Sphingopyxis,3,True,True,False,True,up,up,,down
D55_vs_D0,OG0000709,Halomonas;Psychrobacter;Sphingopyxis,3,True,True,False,True,up,up,,down
D55_vs_D0,OG0000710,Aequorivita,1,False,False,True,False,,,down,
D55_vs_D0,OG0000713,Sphingopyxis,1,False,False,False,True,,,,up
D55_vs_D0,OG0000716,Halomonas;Aequorivita;Sphingopyxis,3,True,False,True,True,up,,down,up
D55_vs_D0,OG0000718,Halomonas;Aequorivita,2,True,False,True,False,down,,down,
D55_vs_D0,OG0000719,Sphingopyxis,1,False,False,False,True,,,,down
D55_vs_D0,OG0000720,Sphingopyxis,1,False,False,False,True,,,,up
D55_vs_D0,OG0000721,Psychrobacter,1,False,True,False,False,,up,,
D55_vs_D0,OG0000722,Psychrobacter,1,False,True,False,False,,up,,
D55_vs_D0,OG0000723,Halomonas;Sphingopyxis,2,True,False,False,True,down,,,up
D55_vs_D0,OG0000724,Halomonas;Sphingopyxis,2,True,False,False,True,down,,,up
D55_vs_D0,OG0000728,Sphingopyxis,1,False,False,False,True,,,,up
D55_vs_D0,OG0000731,Sphingopyxis,1,False,False,False,True,,,,up
D55_vs_D0,OG0000733,Halomonas;Sphingopyxis,2,True,False,False,True,up,,,up
D55_vs_D0,OG0000735,Halomonas,1,True,False,False,False,down,,,
D55_vs_D0,OG0000736,Sphingopyxis,1,False,False,False,True,,,,up
D55_vs_D0,OG0000739,Sphingopyxis,1,False,False,False,True,,,,up
D55_vs_D0,OG0000741,Psychrobacter,1,False,True,False,False,,up,,
D55_vs_D0,OG0000744,Aequorivita,1,False,False,True,False,,,down,
D55_vs_D0,OG0000745,Halomonas;Sphingopyxis,2,True,False,False,True,up,,,up
D55_vs_D0,OG0000746,Halomonas,1,True,False,False,False,up,,,
D55_vs_D0,OG0000748,Sphingopyxis,1,False,False,False,True,,,,up
D55_vs_D0,OG0000750,Sphingopyxis,1,False,False,False,True,,,,up
D55_vs_D0,OG0000751,Halomonas;Sphingopyxis,2,True,False,False,True,down,,,down
D55_vs_D0,OG0000752,Psychrobacter;Sphingopyxis,2,False,True,False,True,,down,,down
