panel,comparison_label,strain,contrast,orthofinder_orthogroup,OG_gene_symbol,logCPM,logFC,FDR,ma_class_from_code
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000168,pspE,8.57610717612446,-0.324603080773075,0.0157286909784635,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000169,dgk,7.85923300220027,0.51040617581164,0.0030169829755026,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000170,nemA,8.74978647723465,1.08222200926242,0.0001224973446601,up
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000171,glnB,6.62429667788552,-0.387641776970363,0.347677394309968,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000172,hsdR,7.55359882160028,-0.700516533353487,0.0003145346623278,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000173,fixB,10.5307352237014,-0.275503324367296,0.264416728104475,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000174,erpA,6.76096828215996,1.10893978201763,0.000248220101076,up
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000175,secDF,11.8567393799338,0.12316391962885,0.586524019283372,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000176,tam,8.37202656084672,-0.56445320611172,0.0523035989611539,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000177,degP,11.8181751565826,0.825181747222754,0.0001454098256765,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000178,hemK,5.04653852337541,0.250378065602788,0.385239010149504,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000179,czcD,5.60782336097209,1.50663066349378,0.00033974481835,up
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000200,phbB,8.32634152033978,-0.397148306691749,0.0306876393208196,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000202,butA,9.26217243032149,-0.0378112113957122,0.786540170846815,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000203,dcm,8.38443987059537,0.607354751296679,0.0033924501106976,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000205,fepA,9.98865039657959,0.394027297082514,0.0246384734526219,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000206,pobR,6.71615314315217,0.718571601140496,0.000704681275195,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000207,uspE,6.17037606818946,-0.260276980355841,0.691683300246392,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000208,pcaF,8.91158344921202,-0.341226314362662,0.0719950834135461,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000209,dicA,1.97902859124052,-0.178870873894454,0.659377802809711,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000210,nlpD,6.29483933224188,0.0088543761701389,0.96938400611678,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000211,cydC,9.16342722868949,1.24744271979363,0.000191883094108,up
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000212,doeC,12.4693789155309,-1.18607518097755,5.466082195476e-05,down
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000213,mdlB,9.09664366041345,0.532248039781516,0.0023165854099647,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000214,vcaM,7.44947465592358,0.0256912154403642,0.824832974505391,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000215,ywaD,9.68488448654219,0.545736565973326,0.000191883094108,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000216,rluC,5.19029508308368,0.215064407059097,0.310718083085433,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000217,ugd,9.91446124073775,-0.194733323507559,0.208241954426536,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000218,fabB,9.77400936864479,-0.234373953132376,0.136378776674496,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000220,dps,8.7806362560884,1.53006865725519,1.89476023617024e-07,up
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000221,pepN,11.3716206162976,0.505266922208072,0.0018209944700257,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000222,coxC,7.39425719755066,-0.679288485863335,0.0260296290119264,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000223,gene2221,4.93062455627969,-0.196435488036028,0.547775505860525,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000224,parB,8.85157794735863,-0.153973792593599,0.237502785758251,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000225,calB,6.38541180606328,1.1510616996,0.0004045035576188,up
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000226,pap,7.63064621490547,-0.364037101876409,0.209546643261959,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000227,dnaJ,11.9371637138708,1.528947123323,8.86454339437493e-06,up
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000228,msrA,8.64473436434989,0.628641871540734,0.0094800956023357,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000229,tatA,7.19663166010705,0.110193106666589,0.646175193726851,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000230,hepA,4.36369352377412,-0.311175117616282,0.32674804331913,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000231,tri,9.31546760759681,0.0321815821183467,0.913917634606507,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000232,hsdM,8.43462146293998,0.112104494088289,0.472525163037558,mid
