contrast	module	orthogroup_id	gene_label	display_gene_label	x	index_in_module	strain	point_class	status_raw	member_gene_count_in_strain	direction	plot_direction	logFC	pvalue	FDR	neg_log10_p	n_DEG_events	n_DEG_strains	DEG_strains	directions	strict_function_evidence	representative_product	ko_terms	pathway_ids	member_gene_symbols
D55_vs_B55	ROS removal	OG0000341	prx	prx	13.25	6	Aequorivita	Present_not_DEG	Homolog_present_not_DEG	1							2	2	Halomonas;Sphingopyxis	Down;Up	strict ROS removal: catalase/SOD/Ahp/peroxiredoxin/OsmC-Ohr/Bcp/BtuE/Tpx direct detoxification enzyme	MULTISPECIES: peroxiredoxin	K24158;K03386	map04214	prx;ahpC
D55_vs_B55	ROS removal	OG0000745	sodB	sodB	14.25	7	Halomonas	DEG	DEG	1	Up	Up	2.58521611534377	3.26283515595298e-10	7.49111194709204e-09	9.48640486696248	2	2	Halomonas;Sphingopyxis	Down;Up	strict ROS removal: catalase/SOD/Ahp/peroxiredoxin/OsmC-Ohr/Bcp/BtuE/Tpx direct detoxification enzyme	MULTISPECIES: superoxide dismutase	K04564	map04013;map04068;map04146;map04211;map04212;map04213;map05016;map05208;map05417	
D55_vs_B55	ROS removal	OG0000745	sodB	sodB	14.25	7	Psychrobacter	Present_not_DEG	Homolog_present_not_DEG	1							2	2	Halomonas;Sphingopyxis	Down;Up	strict ROS removal: catalase/SOD/Ahp/peroxiredoxin/OsmC-Ohr/Bcp/BtuE/Tpx direct detoxification enzyme	MULTISPECIES: superoxide dismutase	K04564	map04013;map04068;map04146;map04211;map04212;map04213;map05016;map05208;map05417	
D55_vs_B55	ROS removal	OG0000745	sodB	sodB	14.25	7	Sphingopyxis	DEG	DEG	1	Down	Down	-1.11879049767578	3.56793597675868e-08	3.51205264218295e-07	7.4475829472303	2	2	Halomonas;Sphingopyxis	Down;Up	strict ROS removal: catalase/SOD/Ahp/peroxiredoxin/OsmC-Ohr/Bcp/BtuE/Tpx direct detoxification enzyme	MULTISPECIES: superoxide dismutase	K04564	map04013;map04068;map04146;map04211;map04212;map04213;map05016;map05208;map05417	
D55_vs_B55	ROS removal	OG0000745	sodB	sodB	14.25	7	Aequorivita	Present_not_DEG	Homolog_present_not_DEG	1							2	2	Halomonas;Sphingopyxis	Down;Up	strict ROS removal: catalase/SOD/Ahp/peroxiredoxin/OsmC-Ohr/Bcp/BtuE/Tpx direct detoxification enzyme	MULTISPECIES: superoxide dismutase	K04564	map04013;map04068;map04146;map04211;map04212;map04213;map05016;map05208;map05417	
D55_vs_B55	ROS removal	OG0001854	katE	katE	15.25	8	Halomonas	DEG	DEG	1	Up	Up	2.9678515889591	1.59518742027885e-09	2.3047707899891e-08	8.79718828388512	2	2	Halomonas;Psychrobacter	Up	strict ROS removal: catalase/SOD/Ahp/peroxiredoxin/OsmC-Ohr/Bcp/BtuE/Tpx direct detoxification enzyme	catalase	K03781	map00380;map00630;map01100;map01110;map01200;map04011;map04016;map04068;map04146;map04211;map04212;map04213;map05014;map05022;map05208	katE
D55_vs_B55	ROS removal	OG0001854	katE	katE	15.25	8	Psychrobacter	DEG	DEG	1	Up	Up	1.99066599643301	7.25116200179473e-10	2.30551058767954e-08	9.13959239197659	2	2	Halomonas;Psychrobacter	Up	strict ROS removal: catalase/SOD/Ahp/peroxiredoxin/OsmC-Ohr/Bcp/BtuE/Tpx direct detoxification enzyme	catalase	K03781	map00380;map00630;map01100;map01110;map01200;map04011;map04016;map04068;map04146;map04211;map04212;map04213;map05014;map05022;map05208	katE
D55_vs_B55	ROS removal	OG0001854	katE	katE	15.25	8	Sphingopyxis	Absent	Absent	0							2	2	Halomonas;Psychrobacter	Up	strict ROS removal: catalase/SOD/Ahp/peroxiredoxin/OsmC-Ohr/Bcp/BtuE/Tpx direct detoxification enzyme	catalase	K03781	map00380;map00630;map01100;map01110;map01200;map04011;map04016;map04068;map04146;map04211;map04212;map04213;map05014;map05022;map05208	katE
D55_vs_B55	ROS removal	OG0001854	katE	katE	15.25	8	Aequorivita	Absent	Absent	0							2	2	Halomonas;Psychrobacter	Up	strict ROS removal: catalase/SOD/Ahp/peroxiredoxin/OsmC-Ohr/Bcp/BtuE/Tpx direct detoxification enzyme	catalase	K03781	map00380;map00630;map01100;map01110;map01200;map04011;map04016;map04068;map04146;map04211;map04212;map04213;map05014;map05022;map05208	katE
D55_vs_B55	ROS removal	OG0000634	bcp	bcp	16.25	9	Halomonas	Present_not_DEG	Homolog_present_not_DEG	1							2	2	Aequorivita;Psychrobacter	Up	strict ROS removal: catalase/SOD/Ahp/peroxiredoxin/OsmC-Ohr/Bcp/BtuE/Tpx direct detoxification enzyme	MULTISPECIES: peroxiredoxin	K03564		
D55_vs_B55	ROS removal	OG0000634	bcp	bcp	16.25	9	Psychrobacter	DEG	DEG	1	Up	Up	1.39853028523436	3.0545821277415e-08	3.73392119295121e-07	7.51504819361416	2	2	Aequorivita;Psychrobacter	Up	strict ROS removal: catalase/SOD/Ahp/peroxiredoxin/OsmC-Ohr/Bcp/BtuE/Tpx direct detoxification enzyme	MULTISPECIES: peroxiredoxin	K03564		
