contrast	strain	module	orthogroup_id	gene_label	direction	logFC	pvalue	FDR	n_DEG_strains_raw	strict_function_evidence	source_table	ko_terms	pathway_ids	pathway_names	representative_product	representative_Preferred_name	member_gene_symbols	member_products	n_DEG_strains	sharing	sharing_label
D55_vs_B55	Halomonas	ROS removal	OG0001338	btuE	Up	1.06230254457	0.0008547495210961	0.0016853649380671	3	strict ROS removal: catalase/SOD/Ahp/peroxiredoxin/OsmC-Ohr/Bcp/BtuE/Tpx direct detoxification enzyme	DEG_OG_edgeR.tsv strict full-module filter	K00432	map00480;map01100;map04918;map05014;map05016;map05022	Amyotrophic lateral sclerosis;Glutathione metabolism;Huntington disease;Metabolic pathways;Pathways of neurodegeneration - multiple diseases;Thyroid hormone synthesis	glutathione peroxidase	gpo	btuE	MULTISPECIES: glutathione peroxidase;glutathione peroxidase	2	shared	OG in >=2 strains
D55_vs_B55	Psychrobacter	ROS removal	OG0001338	btuE	Up	1.30215644226806	0.0001770989378905	0.0005488989393444	3	strict ROS removal: catalase/SOD/Ahp/peroxiredoxin/OsmC-Ohr/Bcp/BtuE/Tpx direct detoxification enzyme	DEG_OG_edgeR.tsv strict full-module filter	K00432	map00480;map01100;map04918;map05014;map05016;map05022	Amyotrophic lateral sclerosis;Glutathione metabolism;Huntington disease;Metabolic pathways;Pathways of neurodegeneration - multiple diseases;Thyroid hormone synthesis	glutathione peroxidase	gpo	btuE	MULTISPECIES: glutathione peroxidase;glutathione peroxidase	2	shared	OG in >=2 strains
D55_vs_B55	Halomonas	ROS removal	OG0001394	ahpF	Up	4.47166725803513	3.30653741759235e-15	2.77087835594239e-12	3	strict ROS removal: catalase/SOD/Ahp/peroxiredoxin/OsmC-Ohr/Bcp/BtuE/Tpx direct detoxification enzyme	DEG_OG_edgeR.tsv strict full-module filter	K03387			MULTISPECIES: alkyl hydroperoxide reductase subunit F	ahpF	ahpF	MULTISPECIES: alkyl hydroperoxide reductase subunit F;alkyl hydroperoxide reductase subunit F	2	shared	OG in >=2 strains
D55_vs_B55	Sphingopyxis	ROS removal	OG0001394	ahpF	Up	3.8223448915474	1.75532911424114e-15	2.86820777267003e-13	3	strict ROS removal: catalase/SOD/Ahp/peroxiredoxin/OsmC-Ohr/Bcp/BtuE/Tpx direct detoxification enzyme	DEG_OG_edgeR.tsv strict full-module filter	K03387			MULTISPECIES: alkyl hydroperoxide reductase subunit F	ahpF	ahpF	MULTISPECIES: alkyl hydroperoxide reductase subunit F;alkyl hydroperoxide reductase subunit F	2	shared	OG in >=2 strains
D55_vs_B55	Aequorivita	ROS removal	OG0001611	tpx	Up	1.26924372822696	1.46381856452732e-08	7.08262982375143e-07	2	strict ROS removal: catalase/SOD/Ahp/peroxiredoxin/OsmC-Ohr/Bcp/BtuE/Tpx direct detoxification enzyme	DEG_OG_edgeR.tsv strict full-module filter	K11065			MULTISPECIES: thiol peroxidase	tpx	tpx	MULTISPECIES: thiol peroxidase;lipid hydroperoxide peroxidase	1	single	OG in 1 strain
D55_vs_B55	Halomonas	ROS removal	OG0001854	katE	Up	2.9678515889591	1.59518742027885e-09	2.3047707899891e-08	2	strict ROS removal: catalase/SOD/Ahp/peroxiredoxin/OsmC-Ohr/Bcp/BtuE/Tpx direct detoxification enzyme	DEG_OG_edgeR.tsv strict full-module filter	K03781	map00380;map00630;map01100;map01110;map01200;map04011;map04016;map04068;map04146;map04211;map04212;map04213;map05014;map05022;map05208	Amyotrophic lateral sclerosis;Biosynthesis of secondary metabolites;Carbon metabolism;Chemical carcinogenesis - reactive oxygen species;FoxO signaling pathway;Glyoxylate and dicarboxylate metabolism;Longevity regulating pathway;Longevity regulating pathway - multiple species;Longevity regulating pathway - worm;MAPK signaling pathway - plant;MAPK signaling pathway - yeast;Metabolic pathways;Pathways of neurodegeneration - multiple diseases;Peroxisome;Tryptophan metabolism	catalase	katE	katE	MULTISPECIES: catalase;catalase	2	shared	OG in >=2 strains
D55_vs_B55	Psychrobacter	ROS removal	OG0001854	katE	Up	1.99066599643301	7.25116200179473e-10	2.30551058767954e-08	2	strict ROS removal: catalase/SOD/Ahp/peroxiredoxin/OsmC-Ohr/Bcp/BtuE/Tpx direct detoxification enzyme	DEG_OG_edgeR.tsv strict full-module filter	K03781	map00380;map00630;map01100;map01110;map01200;map04011;map04016;map04068;map04146;map04211;map04212;map04213;map05014;map05022;map05208	Amyotrophic lateral sclerosis;Biosynthesis of secondary metabolites;Carbon metabolism;Chemical carcinogenesis - reactive oxygen species;FoxO signaling pathway;Glyoxylate and dicarboxylate metabolism;Longevity regulating pathway;Longevity regulating pathway - multiple species;Longevity regulating pathway - worm;MAPK signaling pathway - plant;MAPK signaling pathway - yeast;Metabolic pathways;Pathways of neurodegeneration - multiple diseases;Peroxisome;Tryptophan metabolism	catalase	katE	katE	MULTISPECIES: catalase;catalase	2	shared	OG in >=2 strains
D55_vs_B55	Sphingopyxis	ROS removal	OG0002259	prxII	Down	-1.05459960083117	3.81414648812334e-06	2.01042431019146e-05	2	strict ROS removal: catalase/SOD/Ahp/peroxiredoxin/OsmC-Ohr/Bcp/BtuE/Tpx direct detoxification enzyme	DEG_OG_edgeR.tsv strict full-module filter	K24157;K24138	map00480;map01100	Glutathione metabolism;Metabolic pathways	MULTISPECIES: peroxiredoxin	VY92_02980	prxII	MULTISPECIES: peroxiredoxin;peroxiredoxin	1	single	OG in 1 strain
D55_vs_B55	Halomonas	Flagellar assembly	OG0000124	tcyA	Up	1.56947646379627	1.63797555600278e-06	6.67943316754418e-06	2	strict flagellar assembly: flagellar structural, motor, basal-body, hook, or export component	DEG_OG_edgeR.tsv strict full-module filter	K02030;K02424;K23055	map02010;map02040	ABC transporters;Flagellar assembly	MULTISPECIES: amino acid ABC transporter substrate-binding protein	fliY	aotJ;glnH;tcyA	transporter substrate-binding domain-containing protein;MULTISPECIES: amino acid ABC transporter substrate-binding protein;MULTISPECIES: transporter substrate-binding domain-containing protein;ABC transporter substrate-binding protein	1	single	OG in 1 strain
D55_vs_B55	Halomonas	Flagellar assembly	OG0000235	rpoD	Up	1.64206751774451	5.19352402005352e-10	1.07461064908762e-08	4	strict flagellar assembly: flagellar structural, motor, basal-body, hook, or export component	DEG_OG_edgeR.tsv strict full-module filter	K03086;K03087	map02040;map02026;map05111	Flagellar assembly;Biofilm formation - Escherichia coli;Biofilm formation - Vibrio cholerae	RNA polymerase sigma factor RpoD	rpoD	rpoD;rpoS	RNA polymerase sigma factor RpoD;RNA polymerase sigma factor RpoS;MULTISPECIES: RNA polymerase sigma factor RpoD/SigA;MULTISPECIES: sigma-70 family RNA polymerase sigma factor	1	single	OG in 1 strain
