orthofinder_orthogroup,strain,contrast,logFC,FDR,OG_gene_symbol,representative_product,ko_terms,pathway_names,cog_category_names,min_FDR,max_abs_logFC
OG0001077,Psychrobacter,D55_vs_D0,1.38358314864427,0.0004977818806622,tpm,SAM-dependent methyltransferase,K21552,,Q: Secondary metabolites biosynthesis;transport and catabolism,0.0004977818806622,1.38358314864427
OG0002160,Psychrobacter,D55_vs_D0,1.07045622862137,0.0005021535795231,gene0175,MULTISPECIES: CHAP domain-containing protein,,,M: Cell wall/membrane/envelope biogenesis,0.0005021535795231,1.07045622862137
OG0002001,Sphingopyxis,D55_vs_B55,-1.32588368094259,0.0005035780150957,fliR,flagellar biosynthetic protein FliR,K02421,Flagellar assembly,N: Cell motility,0.0005035780150957,1.32588368094259
OG0001446,Halomonas,D55_vs_B55,-1.74462751531595,0.000513198332792,trmL,MULTISPECIES: tRNA (cytidine(34)-2'-O)-methyltransferase,K03216,,J: Translation;ribosomal structure and biogenesis,0.000513198332792,1.74462751531595
OG0000153,Aequorivita,D55_vs_D0,1.58032191697252,0.0005177144432343,lexA,MULTISPECIES: transcriptional repressor LexA,K01356;K03503,,K: Transcription;T: Signal transduction mechanisms,0.0005177144432343,1.58032191697252
OG0001338,Psychrobacter,D55_vs_B55,1.30215644226806,0.0005488989393444,btuE,glutathione peroxidase,K00432,Amyotrophic lateral sclerosis;Glutathione metabolism;Huntington disease;Metabolic pathways;Pathways of neurodegeneration - multiple diseases;Thyroid hormone synthesis,O: Posttranslational modification;protein turnover;chaperones,0.0005488989393444,1.30215644226806
OG0001698,Aequorivita,D55_vs_D0,-2.16140420398598,0.000589173815243,gene2065,hypothetical protein,K08982,,S: Function unknown,0.000589173815243,2.16140420398598
OG0001881,Halomonas,D55_vs_B55,1.25068493129825,0.0005932133526602,gene1011,transposase,K07483,,L: Replication;recombination and repair,0.0005932133526602,1.25068493129825
OG0000651,Aequorivita,D55_vs_D0,1.11643472946407,0.0005965239670804,nagZ,beta-N-acetylglucosaminidase,K01207,Amino sugar and nucleotide sugar metabolism;Glycosaminoglycan degradation;Metabolic pathways;beta-Lactam resistance,G: Carbohydrate transport and metabolism,0.0005965239670804,1.11643472946407
OG0002047,Halomonas,D55_vs_D0,1.57021060289694,0.0005987036281771,cysW,sulfate ABC transporter permease subunit CysW,K02047,ABC transporters;Sulfur metabolism,P: Inorganic ion transport and metabolism,0.0005987036281771,1.57021060289694
